Symbol	Description
CHFRSD	
CHFRUB	CHF / RUB
CHFSEK	CHF / SEK
CHFSGD	CHF / SGD
CHFSZL	CHF / SZL
CHFTHB	CHF / THB
CHFTRY	CHF / TRY
CHFTWD	CHF / TWD
CHFUSD	CHF / USD
CHFZAR	CHF / ZAR
CLPARS	
CLPAUD	
CLPBRL	Chilean Peso / Brazil Real
CLPCHF	
CLPCNY	
CLPCOP	
CLPEUR	CLP / EUR
CLPGBP	CLP / GBP
CLPMXN	
CLPPEN	
CLPUSD	Chilean Peso / US Dollar
CNHHKD	CNH / HKD
CNHIDR	CNH / IDR
CNHINR	CNH / INR
CNHJPY	CNH / JPY
CNHKRW	CNH / KRW
CNHPHP	CNH / PHP
CNHTHB	CNH / THB
CNHTWD	CNH / TWD
CNYAUD	CNY / AUD
CNYBGN	CNY / BGN
CNYBRL	
CNYCAD	CNY / CAD
CNYCHF	CNY / CHF
CNYCLP	Chinese Yuan / Chilean Peso
CNYDKK	CNY / DKK
CNYEUR	CNY / EUR
CNYGBP	CNY / GBP
CNYHKD	CNY / HKD
CNYINR	
CNYJPY	CNY / JPY
CNYKRW	CNY / KRW
CNYMYR	CNY / MYR
CNYNZD	CNY / NZD
CNYRUB	
CNYSGD	
CNYTWD	
CNYUSD	Chinese Yuan / US Dollar
CNYZAR	CNY / ZAR
COPARS	
COPBRL	
COPCAD	
COPCLP	
COPDKK	COP / DKK
COPMXN	
COPUSD	Colombian Peso / US Dollar
COPZAR	
CRCEUR	
CRCGBP	CRC / GBP
CRCUSD	
CUPUSD	
CVEGBP	
CVEUSD	
CZKCAD	
CZKCHF	CZK / CHF
CZKDKK	CZK / DKK
CZKEUR	CZK / EUR
CZKJPY	CZK / JPY
CZKMXN	CZK / MXN
CZKNOK	CZK / NOK
CZKPLN	CZK / PLN
CZKSEK	CZK / SEK
CZKUSD	CZK / USD
CZKZAR	
D6Y0	
DJFGBP	DJF / GBP
DJFUSD	
DKKAED	DKK / AED
DKKAUD	DKK / AUD
DKKBGN	DKK / BGN
DKKBRL	DKK / BRL
DKKCAD	DKK / CAD
DKKCHF	DKK / CHF
DKKCNY	DKK / CNY
DKKCOP	DKK / COP
DKKCZK	DKK / CZK
DKKEUR	DKK / EUR
DKKEUR.1	
DKKEUR.A	
DKKEUR.B	
DKKEUR.C	
DKKEUR.D	
DKKEUR.E	
DKKEUR.G	
DKKEUR.H	
DKKEUR.J	
DKKEUR.K	
DKKEUR.M	
DKKEUR.N	
DKKEUR.Q	
DKKEUR.S	
