Symbol	Description
MKDGBP	
MKDUSD	MKD / USD
MOPUSD	
MUREUR	MUR / EUR
MURGBP	MUR / GBP
MURUSD	MUR / USD
MURZAR	MUR / ZAR
MVRUSD	MVR / USD
MWKGBP	MWK / GBP
MWKUSD	
MWKZAR	
MXNARS	MXN / ARS
MXNAUD	MXN / AUD
MXNBRL	MXN / BRL
MXNCAD	MXN / CAD
MXNCHF	MXN / CHF
MXNCLP	
MXNCOP	
MXNCZK	MXN / CZK
MXNDKK	MXN / DKK
MXNEUR	MXN / EUR
MXNGBP	MXN / GBP
MXNHKD	MXN / HKD
MXNJPY	MXN / JPY
MXNPEN	
MXNPLN	
MXNRUB	
MXNSGD	MXN / SGD
MXNUSD	MXN / USD
MXNZAR	MXN / ZAR
MYRAUD	MYR / AUD
MYRBRL	
MYRCAD	MYR / CAD
MYRCHF	MYR / CHF
MYRCNH	MYR / CNH
MYRCNY	MYR / CNY
MYRDKK	MYR / DKK
MYREUR	MYR / EUR
MYRGBP	MYR / GBP
MYRHKD	MYR / HKD
MYRIDR	MYR / IDR
MYRINR	MYR / INR
MYRJPY	MYR / JPY
MYRKRW	MYR / KRW
MYRNZD	MYR / NZD
MYRPKR	Malaysian Ringgit / Pakistani Rupee
MYRSGD	MYR / SGD
MYRTHB	MYR / THB
MYRTWD	MYR / TWD
MYRUSD	MYR / USD
MYRZAR	MYR / ZAR
MZNUSD	MZN / USD
N6Y0	
NADUSD	
NGNGBP	NGN / GBP
NGNJPY	NGN / JPY
NGNUSD	
NGNZAR	
NIOGBP	NIO / GBP
NIOUSD	
NOKAED	
NOKBRL	
NOKCAD	NOK / CAD
NOKCHF	NOK / CHF
NOKCNH	NOK / CNH
NOKDKK	NOK / DKK
NOKEUR	NOK / EUR
NOKGBP	NOK / GBP
NOKILS	
NOKINR	NOK / INR
NOKJPY	NOK / JPY
NOKPLN	NOK / PLN
NOKRUB	
NOKSEK	NOK / SEK
NOKUSD	NOK / USD
NOKZAR	NOK / ZAR
NPRGBP	
NPRUSD	
NRY0	
NZDAED	NZD / AED
NZDAUD	NZD / AUD
NZDBRL	
NZDCAD	NZD / CAD
NZDCHF	NZD / CHF
NZDCNH	NZD / CNH
NZDCNY	NZD / CNY
NZDCZK	NZD / CZK
NZDDKK	NZD / DKK
NZDEUR	NZD / EUR
NZDGBP	NZD / GBP
NZDHKD	NZD / HKD
NZDHUF	NZD / HUF
NZDIDR	NZD / IDR
NZDINR	NZD / INR
NZDJPY	NZD / JPY
NZDJPY.1	
NZDJPY.2	
NZDJPY.B	
NZDJPY.C	
NZDJPY.D	
NZDJPY.E	
NZDJPY.G	
NZDJPY.H	
NZDJPY.K	
NZDJPY.M	
NZDJPY.Q	
NZDJPY.S	
NZDJPY.U	
NZDJPY.X	
NZDKRW	NZD / KRW
NZDMXN	NZD / MXN
NZDMYR	NZD / MYR
NZDNOK	NZD / NOK
NZDPKR	New Zealand Dollar / Pakistani Rupee
NZDPLN	NZD / PLN
NZDSEK	NZD / SEK
NZDSGD	NZD / SGD
NZDTHB	NZD / THB
NZDTRY	NZD / TRY
NZDTWD	NZD / TWD
NZDUSD	NZD / USD
NZDUSD.1	
NZDUSD.2	
NZDUSD.3	
NZDUSD.4	
NZDUSD.5	
NZDUSD.A	
NZDUSD.B	
NZDUSD.C	
NZDUSD.D	
NZDUSD.E	
NZDUSD.G	
NZDUSD.H	
NZDUSD.J	
NZDUSD.K	
NZDUSD.M	
NZDUSD.N	
NZDUSD.O	
NZDUSD.Q	
NZDUSD.S	
NZDUSD.U	
NZDUSD.V	
NZDUSD.X	
NZDZAR	NZD / ZAR
OMRAED	OMR / AED
OMRGBP	OMR / GBP
OMRPKR	Omani Rial / Pakistani Rupee
OMRUSD	OMR / USD
OMRZAR	OMR / ZAR
PABUSD	
PAY00	
PENARS	
PENBRL	
PENCAD	
PENCLP	
PENCOP	
PENEUR	
PENGBP	PEN / GBP
PENMXN	
PENUSD	Peru Sol / US Dollar
PGKAUD	
PGKGBP	PGK / GBP
PGKUSD	
PHPDKK	PHP / DKK
PHPGBP	PHP / GBP
PHPJPY	PHP / JPY
PHPUSD	PHP / USD
PKREUR	
PKRGBP	PKR / GBP
PKRJPY	Pakistani Rupee / Japanese Yen
PKRUSD	
PKRZAR	PKR / ZAR
PLNBRL	
PLNCHF	PLN / CHF
PLNCZK	PLN / CZK
PLNDKK	PLN / DKK
PLNEUR	PLN / EUR
PLNGBP	PLN / GBP
PLNHUF	PLN / HUF
PLNILS	PLN / ILS
PLNJPY	PLN / JPY
PLNMXN	
PLNNOK	PLN / NOK
PLNSEK	PLN / SEK
PLNUSD	PLN / USD
PLY00	
PYGUSD	Paraguayan Guarani / US Dollar
QARAED	QAR / AED
QARGBP	QAR / GBP
QARPKR	Qatari Riyal / Pakistani Rupee
QARUSD	QAR / USD
QARZAR	QAR / ZAR
R6Y0	
RFY0	
RONCHF	RON / CHF
RONGBP	RON / GBP
RONUSD	RON / USD
RONZAR	
RPY0	
RSDGBP	
RSDUSD	RSD / USD
RUBBRL	
RUBCAD	
RUBCHF	RUB / CHF
RUBDKK	
RUBEUR	
RUBGBP	RUB / GBP
RUBJPY	RUB / JPY
RUBKRW	RUB / KRW
RUBMXN	
RUBNOK	
RUBPLN	RUB / PLN
RUBSEK	
RUBUSD	RUB / USD
RUBZAR	
RWFGBP	
RWFUSD	
RWFZAR	
RYY0	
S6Y0	
SAREUR	SAR / EUR
SARJPY	
SARKWD	
SARPKR	Saudi Riyal / Pakistani Rupee
SARUSD	SAR / USD
SCRGBP	SCR / GBP
SCRUSD	SCR / USD
SEKAUD	SEK / AUD
SEKBRL	
SEKCAD	SEK / CAD
SEKCHF	SEK / CHF
SEKCNH	SEK / CNH
SEKCZK	SEK / CZK
SEKDKK	SEK / DKK
SEKEUR	SEK / EUR
SEKGBP	SEK / GBP
SEKILS	SEK / ILS
SEKINR	SEK / INR
SEKJPY	SEK / JPY
SEKNOK	SEK / NOK
SEKPLN	SEK / PLN
SEKRUB	
SEKUSD	SEK / USD
SEKZAR	SEK / ZAR
SFY0	
SGDAED	SGD / AED
SGDARS	SGD / ARS
SGDAUD	SGD / AUD
SGDBRL	SGD / BRL
SGDCAD	SGD / CAD
SGDCHF	SGD / CHF
SGDCNH	SGD / CNH
SGDCNY	SGD / CNY
SGDDKK	SGD / DKK
SGDEUR	SGD / EUR
SGDEUR.1	
SGDEUR.2	
SGDEUR.A	
SGDEUR.B	
SGDEUR.C	
SGDEUR.D	
SGDEUR.E	
SGDEUR.G	
SGDEUR.H	
SGDEUR.J	
SGDEUR.K	
SGDEUR.M	
SGDEUR.N	
SGDEUR.O	
SGDEUR.Q	
SGDEUR.S	
SGDEUR.U	
SGDEUR.V	
SGDEUR.X	
SGDGBP	SGD / GBP
SGDHKD	SGD / HKD
SGDIDR	SGD / IDR
SGDINR	SGD / INR
SGDJPY	SGD / JPY
SGDJPY.K	
SGDJPY.N	
SGDKRW	SGD / KRW
SGDMXN	SGD / MXN
SGDMYR	SGD / MYR
SGDNOK	
SGDNZD	SGD / NZD
SGDPKR	Singapore Dollar / Pakistani Rupee
SGDPLN	SGD / PLN
SGDSEK	SGD / SEK
SGDTHB	SGD / THB
SGDTRY	
SGDTWD	SGD / TWD
SGDUSD	SGD / USD
SGDZAR	SGD / ZAR
SHPUSD	SHP / USD
SIY0	
SIY00	
SKY0	
SOSGBP	
SOSUSD	
SUSDCN	
SVCGBP	
SVCUSD	
SZLCHF	SZL / CHF
SZLEUR	SZL / EUR
SZLGBP	SZL / GBP
SZLUSD	SZL / USD
SZLZAR	
T6Y0	
THBAUD	THB / AUD
THBCAD	THB / CAD
THBCHF	THB / CHF
THBCNY	THB / CNY
THBEUR	THB / EUR
THBGBP	THB / GBP
THBHKD	THB / HKD
THBIDR	THB / IDR
THBINR	THB / INR
THBJPY	THB / JPY
THBKRW	THB / KRW
THBMYR	THB / MYR
THBNZD	THB / NZD
THBPKR	Thai Baht / Pakistani Rupee
THBSGD	THB / SGD
THBTWD	THB / TWD
THBUSD	THB / USD
THBZAR	THB / ZAR
TJSUSD	
TMTUSD	TMT / USD
TNDGBP	Tunisian Dinar / British Pound
TNDUSD	TND / USD
TNDZAR	
TRYCHF	TRY / CHF
TRYDKK	TRY / DKK
TRYJPY	TRY / JPY
TRYPLN	TRY / PLN
TRYSGD	
TRYUSD	TRY / USD
TRYZAR	TRY / ZAR
TTDGBP	TTD / GBP
TTDUSD	
TWDAUD	TWD / AUD
TWDCAD	TWD / CAD
TWDCHF	TWD / CHF
TWDCNY	TWD / CNY
TWDDKK	TWD / DKK
TWDEUR	
TWDGBP	TWD / GBP
TWDHKD	TWD / HKD
TWDIDR	TWD / IDR
TWDINR	TWD / INR
TWDJPY	TWD / JPY
TWDKRW	TWD / KRW
TWDMYR	TWD / MYR
TWDNZD	TWD / NZD
TWDPKR	Taiwan Dollar / Pakistani Rupee
TWDSEK	TWD / SEK
TWDSGD	TWD / SGD
TWDTHB	TWD / THB
TWDUSD	TWD / USD
TWDZAR	TWD / ZAR
TZSGBP	
TZSUSD	
TZSZAR	TZS / ZAR
UAHDKK	UAH / DKK
UAHEUR	UAH / EUR
UAHUSD	UAH / USD
UCY0	
UEY0	
UGXUSD	
UGXZAR	
UKY0	
USDAED	US Dollar / UAE Dirham
USDAED.3	
USDAED.4	
USDAED.5	
USDAED.A	
USDAED.O	
USDAED.S	
USDAFN	US Dollar / Afghanistan Afghani
USDALL	USD / ALL
USDAMD	USD / AMD
USDARS	USD / ARS
USDARS.1	
USDARS.E	
USDARS.G	
USDARS.H	
USDARS.M	
USDARS.S	
USDARS.U	
USDAUD	USD / AUD
USDAWG	USD / AWG
USDBAM	US Dollar / Bosnian and Herzegovina Convertible Mark
USDBBD	
USDBDT	USD / BDT
USDBGN	USD / BGN
USDBHD	USD / BHD
USDBHD.1	
USDBHD.B	
USDBHD.E	
USDBHD.G	
USDBHD.H	
USDBHD.M	
USDBHD.S	
USDBHD.U	
USDBIF	US Dollar / Burundian Franc
USDBMD	USD / BMD
USDBND	US Dollar / Brunei Dollar
USDBOB	USD / BOB
USDBOC	
USDBRL	USD / BRL
USDBRL.1	
USDBRL.E	
USDBRL.G	
USDBRL.H	
USDBRL.M	
USDBRL.S	
USDBRL.U	
USDBRP	
USDBSD	
USDBWP	USD / BWP
USDBZD	USD / BZD
USDCAD	USD / CAD
USDCDF	USD / CDF
USDCHF	USD / CHF
USDCLP	US Dollar / Chilean Peso
USDCLP.1	
USDCLP.E	
USDCLP.G	
USDCLP.H	
USDCLP.M	
USDCLP.S	
USDCLP.U	
USDCNH	USD / CNH
USDCNY	US Dollar / Chinese Yuan
USDCNY.B	
USDCOP	US Dollar / Colombian Peso
USDCOP.1	
USDCOP.E	
USDCOP.G	
USDCOP.H	
USDCOP.M	
USDCOP.S	
USDCOP.U	
USDCRC	US Dollar / Costa Rican Colon
USDCUP	USD / CUP
USDCVE	USD / CVE
USDCZK	USD / CZK
USDDJF	US Dollar / Djiboutian Franc
USDDKK	USD / DKK
USDDOP	US Dollar / Dominican Peso
USDDZD	USD / DZD
USDEGP	USD / EGP
USDETB	USD / ETB
USDEUR	USD / EUR
USDFJD	USD / FJD
USDGBP	USD / GBP
USDGEL	USD / GEL
USDGHS	US Dollar / Ghanaian Cedi
USDGMD	US Dollar / Gambian Dalasi
USDGNF	USD / GNF
USDGTQ	USD / GTQ
USDGYD	
USDHKD	USD / HKD
USDHKD.A	
USDHKD.B	
USDHKD.C	
USDHKD.O	
USDHKD.S	
USDHNL	US Dollar / Honduran Lempira
USDHTG	USD / HTG
USDHUF	USD / HUF
USDHUF.1	
USDHUF.A	
USDHUF.B	
USDHUF.C	
USDHUF.D	
USDHUF.E	
USDHUF.G	
USDHUF.H	
USDHUF.J	
USDHUF.K	
USDHUF.M	
USDHUF.N	
USDHUF.Q	
USDHUF.S	
USDHUF.U	
USDHUF.V	
USDHUF.X	
USDHUY	
USDIDR	USD / IDR
USDIDR.1	
USDIDR.2	
USDIDR.A	
USDIDR.B	
USDIDR.C	
USDIDR.D	
USDIDR.E	
USDIDR.G	
USDIDR.H	
USDIDR.J	
USDIDR.K	
USDIDR.M	
USDIDR.N	
USDIDR.O	
USDIDR.Q	
USDIDR.S	
USDIDR.U	
USDIDR.V	
USDIDR.X	
USDILS	US Dollar / Israeli Shekel
USDINR	USD / INR
USDINR.1	
USDINR.2	
USDINR.A	
USDINR.B	
USDINR.C	
USDINR.D	
USDINR.E	
USDINR.G	
USDINR.H	
USDINR.J	
USDINR.K	
USDINR.M	
USDINR.N	
USDINR.O	
USDINR.Q	
USDINR.S	
USDINR.U	
USDINR.V	
USDINR.X	
USDIQD	USD / IQD
USDIRR	USD / IRR
USDISK	USD / ISK
USDJMD	US Dollar / Jamaican Dollar
USDJOD	US Dollar / Jordan Dinar
USDJPY	USD / JPY
USDKES	USD / KES
USDKGS	US Dollar / Kyrgyzstan som
USDKHR	USD / KHR
USDKMF	US Dollar / Comorian Franc
USDKRW	USD / KRW
USDKRW.U	
USDKWD	USD / KWD
USDKWD.2	
USDKWD.Y	
USDKYD	
USDKZT	US Dollar / Kazakh Tenge
USDLAK	US Dollar / Lao Kip
USDLBP	US Dollar / Lebanese Pound
USDLKR	USD / LKR
USDLRD	USD / LRD
USDLSL	USD / LSL
USDLYD	USD / LYD
USDMAD	US Dollar / Moroccan Dirham
USDMAD.B	
USDMAD.S	
USDMDL	US Dollar / Moldovan Leu
USDMGA	US Dollar / Malagasy Ariary
USDMKD	USD / MKD
USDMOP	USD / MOP
USDMUR	USD / MUR
USDMVR	US Dollar / Maldivian Rufiyaa
USDMWK	US Dollar / Malawian Kwacha
USDMXN	USD / MXN
USDMXN.1	
USDMXN.2	
USDMXN.3	
USDMXN.4	
USDMXN.5	
USDMXN.A	
USDMXN.B	
USDMXN.C	
USDMXN.D	
USDMXN.E	
USDMXN.G	
USDMXN.H	
USDMXN.J	
USDMXN.K	
USDMXN.M	
USDMXN.N	
USDMXN.O	
USDMXN.Q	
USDMXN.S	
USDMXN.U	
USDMXN.V	
USDMXN.X	
USDMYR	USD / MYR
USDMZN	US Dollar / Mozambican Metical
USDNAD	US Dollar / Namibian Dollar
USDNGN	USD / NGN
USDNIO	US Dollar / Nicaraguan Cordoba
USDNOK	USD / NOK
USDNOK.1	
USDNOK.2	
USDNOK.H	
USDNOK.J	
USDNOK.K	
USDNOK.M	
USDNOK.N	
USDNOK.Q	
USDNOK.U	
USDNOK.V	
USDNOK.X	
USDNPR	USD / NPR
USDNZD	USD / NZD
USDOMR	USD / OMR
USDPAB	USD / PAB
USDPEN	USD / PEN
USDPEN.1	
USDPEN.E	
USDPEN.G	
USDPEN.H	
USDPEN.M	
USDPEN.S	
USDPEN.U	
USDPGK	USD / PGK
USDPHP	USD / PHP
USDPHP.1	
USDPHP.2	
USDPHP.B	
USDPHP.C	
USDPHP.D	
USDPHP.E	
USDPHP.G	
USDPHP.H	
USDPHP.J	
USDPHP.K	
USDPHP.M	
USDPHP.N	
USDPHP.O	
USDPHP.Q	
USDPHP.S	
USDPHP.U	
USDPHP.V	
USDPHP.X	
USDPKR	US Dollar / Pakistani Rupee
USDPLN	USD / PLN
USDPLN.1	
USDPLN.2	
USDPLN.A	
USDPLN.B	
USDPLN.C	
USDPLN.D	
USDPLN.E	
USDPLN.G	
USDPLN.H	
USDPLN.J	
USDPLN.K	
USDPLN.M	
USDPLN.N	
USDPLN.O	
USDPLN.Q	
USDPLN.S	
USDPLN.U	
USDPLN.V	
USDPLN.X	
USDPYG	USD / PYG
USDQAR	US Dollar / Qatari Riyal
USDRON	USD / RON
USDRON.1	
USDRON.2	
USDRON.A	
USDRON.B	
USDRON.C	
USDRON.D	
USDRON.E	
USDRON.G	
USDRON.H	
USDRON.M	
USDRON.O	
USDRON.U	
USDRSD	USD / RSD
USDRUB	USD / RUB
USDRWF	US Dollar / Rwandan Franc
USDSAR	USD / SAR
USDSAR.1	
USDSAR.2	
USDSAR.3	
USDSAR.4	
USDSAR.5	
USDSAR.7	
USDSAR.A	
USDSAR.B	
USDSAR.C	
USDSAR.D	
USDSAR.E	
USDSAR.G	
USDSAR.H	
USDSAR.J	
USDSAR.K	
USDSAR.M	
USDSAR.O	
USDSAR.S	
USDSAR.U	
USDSAR.Y	
USDSCR	USD / SCR
USDSDG	US Dollar / Sudanese Pound
USDSEK	USD / SEK
USDSGD	USD / SGD
USDSOS	USD / SOS
USDSVC	USD / SVC
USDSZL	US Dollar / Swazi Lilangeni
USDTHB	USD / THB
USDTHB.A	
USDTHB.O	
USDTHB.S	
USDTJS	US Dollar / Tajikistani somoni
USDTMT	USD / TMT
USDTND	US Dollar / Tunisian Dinar
USDTRY	USD / TRY
USDTRY.1	
USDTRY.2	
USDTRY.3	
USDTRY.4	
USDTRY.5	
USDTRY.A	
USDTRY.B	
USDTRY.C	
USDTRY.E	
USDTRY.G	
USDTRY.H	
USDTRY.M	
USDTRY.O	
USDTRY.U	
USDTTD	US Dollar / Trinidad Dollar
USDTWD	USD / TWD
USDTWD.B	
USDTWD.C	
USDTWD.D	
USDTWD.E	
USDTWD.S	
USDTZS	US Dollar / Tanzanian Shilling
USDUAH	USD / UAH
USDUGX	US Dollar / Ugandan Shilling
USDUYU	USD / UYU
USDUZS	USD / UZS
USDVES	
USDVND	USD / VND
USDVND.1	
USDVND.2	
USDVND.B	
USDVND.C	
USDVND.D	
USDVND.E	
USDVND.G	
USDVND.H	
USDVND.J	
USDVND.K	
USDVND.M	
USDVND.N	
USDVND.Q	
USDVND.S	
USDVND.U	
USDVND.V	
USDVND.X	
USDXAF	US Dollar / Central African CFA franc
USDXCD	US Dollar / East Caribbean Dollar
USDXOF	US Dollar / West African CFA franc
USDXPF	US Dollar / French Pacific Franc
USDYER	US Dollar / Yemeni Rial
USDZAR	USD / ZAR
USDZAR.1	
USDZAR.2	
USDZAR.A	
USDZAR.B	
USDZAR.C	
USDZAR.D	
USDZAR.E	
USDZAR.G	
USDZAR.H	
USDZAR.J	
USDZAR.K	
USDZAR.M	
USDZAR.N	
USDZAR.O	
USDZAR.Q	
USDZAR.S	
USDZAR.U	
USDZAR.V	
USDZAR.X	
USDZMW	US Dollar / Zambia Kwacha
UYUEUR	UYU / EUR
UYUGBP	
UYUUSD	UYU / USD
UZSUSD	
VESEUR	
VESGBP	
VESUSD	
VNDCAD	
VNDEUR	
VNDGBP	
VNDJPY	VND / JPY
VNDUSD	Vietnamese Dong / US Dollar
VNDXAF	VND / XAF
XAFUSD	
XAGARS	XAG / ARS
XAGAUD	XAG / AUD
XAGBRL	XAG / BRL
XAGCAD	XAG / CAD
XAGCNY	XAG / CNY
XAGEUR	XAG / EUR
XAGGBP	XAG / GBP
XAGINR	XAG / INR
XAGJPY	XAG / JPY
XAGKRW	XAG / KRW
XAGMXN	XAG / MXN
XAGRUB	XAG / RUB
XAGSAR	XAG / SAR
XAGTRY	XAG / TRY
XAGUSD	XAG / USD
XAGZAR	XAG / ZAR
XAUARS	XAU / ARS
XAUAUD	XAU / AUD
XAUBRL	XAU / BRL
XAUCAD	XAU / CAD
XAUCNY	XAU / CNY
XAUEUR	XAU / EUR
XAUGBP	XAU / GBP
XAUINR	XAU / INR
XAUJPY	XAU / JPY
XAUMXN	XAU / MXN
XAURUB	XAU / RUB
XAUSAR	XAU / SAR
XAUUSD	XAU / USD
XAUZAR	XAU / ZAR
XOFUSD	
XPFGBP	XPF / GBP
XPFUSD	
YERGBP	
YERUSD	YER / USD
ZARAED	ZAR / AED
ZARARS	ZAR / ARS
ZARAUD	ZAR / AUD
ZARBRL	ZAR / BRL
ZARBWP	ZAR / BWP
ZARCAD	ZAR / CAD
ZARCHF	ZAR / CHF
ZARCNY	ZAR / CNY
ZARCOP	
ZARCZK	
ZARDKK	ZAR / DKK
ZAREGP	
ZAREUR	ZAR / EUR
ZARGBP	ZAR / GBP
ZARGHS	
ZARHKD	ZAR / HKD
ZARHUF	
ZARIDR	ZAR / IDR
ZARILS	
ZARINR	ZAR / INR
ZARJPY	ZAR / JPY
ZARKES	South African Rand / Kenyan Shilling
ZARKRW	ZAR / KRW
ZARLKR	
ZARLSL	
ZARMAD	
ZARMUR	ZAR / MUR
ZARMWK	
ZARMXN	ZAR / MXN
ZARMYR	ZAR / MYR
ZARNAD	South African Rand / Namibian Dollar
ZARNGN	
ZARNOK	ZAR / NOK
ZARNZD	ZAR / NZD
ZAROMR	ZAR / OMR
ZARPHP	ZAR / PHP
ZARPKR	ZAR / PKR
ZARPLN	ZAR / PLN
ZARRON	
ZARRUB	
ZARRWF	
ZARSEK	ZAR / SEK
ZARSGD	ZAR / SGD
ZARSZL	
ZARTHB	ZAR / THB
ZARTND	
ZARTRY	ZAR / TRY
ZARTWD	ZAR / TWD
ZARUGX	
ZARUSD	ZAR / USD
ZARUYU	
ZMWUSD	
ZMWZAR	ZMW / ZAR
