CODE,BASE_CURRENCY,QUOTE_CURRENCY
ZARRUB,ZAR,RUB
ZARRWF,ZAR,RWF
ZARSEK,ZAR,SEK
ZARSGD,ZAR,SGD
ZARSZL,ZAR,SZL
ZARTHB,ZAR,THB
ZARTND,ZAR,TND
ZARTRY,ZAR,TRY
ZARTWD,ZAR,TWD
ZARUGX,ZAR,UGX
ZARUSD,ZAR,USD
ZARUYU,ZAR,UYU
ZMWUSD,ZMW,USD
ZMWZAR,ZMW,ZAR
